Vin2,Vout2
-0.001,-0.297
0.026,-0.294
0.27,-0.302
0.271,-0.312
0.412,-0.312
0.87,-0.316
2.527,-0.316
3.28,-0.31
4.11,-0.317
4.625,-0.312
4.913,-0.318
5.84,-0.318
7.2,-0.302
7.9,-0.305
8.55,-0.298
9.65,-0.27
10.4,-0.215
11.09,-0.152
11.65,-0.152
11.96,-0.172
12.25,-0.193
12.72,-0.232
13.04,-0.253
13.77,-0.237
14.88,-0.062
15.02,-0.002
15.39,0.219
15.84,0.37
16.18,0.203
16.67,0.005
17.17,-0.142
17.6,-0.19
18.18,-0.189
18.82,-0.072
19.07,0.025
19.55,0.184
19.98,0.23
20.49,0.403
20.94,0.628
21.47,0.57
21.88,0.468
22.48,0.06
22.9,-0.078
23.47,-0.069
24.08,0.066
24.48,0.19
25.02,0.45
25.52,1.08
26.09,1.364
26.46,0.933
27.1,0.239
27.56,0.0
27.99,-0.023
28.49,0.183
29.17,0.513
29.46,0.678
29.89,0.662
30.5,1.218
31.0,1.59
31.53,1.452
32.3,0.72
32.91,0.14
33.2,0.147
34.0,0.74
34.46,1.005
34.94,1.262
35.39,2.261
35.99,1.381
36.67,1.094
37.18,0.848
37.49,0.775
38.01,0.853
38.48,1.083
